Субъект РФ;Вид обращения;Количество записей;%
Российская Федерация;EПГУ;2607740;31.38
Российская Федерация;РПГУ;624260;7.51
Российская Федерация;Регистратура;2198446;26.45
Российская Федерация;Инфомат;212364;2.56
Российская Федерация;Call center;1158948;13.94
Российская Федерация;АРМ медработника;1238787;14.91
Российская Федерация;Прочие;270385;3.25
Российская Федерация;Записей не через ЕПГУ;5703190;68.62
Российская Федерация;Всего записей;8310930;100.00
Алтайский край;EПГУ;67047;100.00
Алтайский край;РПГУ;;
Алтайский край;Регистратура;;
Алтайский край;Инфомат;;
Алтайский край;Call center;;
Алтайский край;АРМ медработника;;
Алтайский край;Прочие;;
Алтайский край;Записей не через ЕПГУ;;
Алтайский край;Всего записей;67047;100.00
Амурская область;EПГУ;6707;100.00
Амурская область;РПГУ;;
Амурская область;Регистратура;;
Амурская область;Инфомат;;
Амурская область;Call center;;
Амурская область;АРМ медработника;;
Амурская область;Прочие;;
Амурская область;Записей не через ЕПГУ;;
Амурская область;Всего записей;6707;100.00
Архангельская область;EПГУ;33836;95.43
Архангельская область;РПГУ;62;0.17
Архангельская область;Регистратура;38;0.11
Архангельская область;Инфомат;13;0.04
Архангельская область;Call center;1035;2.92
Архангельская область;АРМ медработника;474;1.34
Архангельская область;Прочие;;
Архангельская область;Записей не через ЕПГУ;1622;4.57
Архангельская область;Всего записей;35458;100.00
Астраханская область;EПГУ;5036;57.90
Астраханская область;РПГУ;167;1.92
Астраханская область;Регистратура;3208;36.88
Астраханская область;Инфомат;3;0.03
Астраханская область;Call center;284;3.27
Астраханская область;АРМ медработника;;
Астраханская область;Прочие;;
Астраханская область;Записей не через ЕПГУ;3662;42.10
Астраханская область;Всего записей;8698;100.00
Белгородская область;EПГУ;28429;100.00
Белгородская область;РПГУ;;
Белгородская область;Регистратура;;
Белгородская область;Инфомат;;
Белгородская область;Call center;;
Белгородская область;АРМ медработника;;
Белгородская область;Прочие;;
Белгородская область;Записей не через ЕПГУ;;
Белгородская область;Всего записей;28429;100.00
Брянская область;EПГУ;17723;100.00
Брянская область;РПГУ;;
Брянская область;Регистратура;;
Брянская область;Инфомат;;
Брянская область;Call center;;
Брянская область;АРМ медработника;;
Брянская область;Прочие;;
Брянская область;Записей не через ЕПГУ;;
Брянская область;Всего записей;17723;100.00
Владимирская область;EПГУ;17016;62.69
Владимирская область;РПГУ;201;0.74
Владимирская область;Регистратура;7279;26.82
Владимирская область;Инфомат;60;0.22
Владимирская область;Call center;615;2.27
Владимирская область;АРМ медработника;24;0.09
Владимирская область;Прочие;1950;7.18
Владимирская область;Записей не через ЕПГУ;10129;37.31
Владимирская область;Всего записей;27145;100.00
Волгоградская область;EПГУ;30783;100.00
Волгоградская область;РПГУ;;
Волгоградская область;Регистратура;;
Волгоградская область;Инфомат;;
Волгоградская область;Call center;;
Волгоградская область;АРМ медработника;;
Волгоградская область;Прочие;;
Волгоградская область;Записей не через ЕПГУ;;
Волгоградская область;Всего записей;30783;100.00
Вологодская область;EПГУ;13886;38.38
Вологодская область;РПГУ;15;0.04
Вологодская область;Регистратура;20078;55.50
Вологодская область;Инфомат;75;0.21
Вологодская область;Call center;418;1.16
Вологодская область;АРМ медработника;1107;3.06
Вологодская область;Прочие;600;1.66
Вологодская область;Записей не через ЕПГУ;22293;61.62
Вологодская область;Всего записей;36179;100.00
Воронежская область;EПГУ;32563;61.64
Воронежская область;РПГУ;336;0.64
Воронежская область;Регистратура;6395;12.11
Воронежская область;Инфомат;1299;2.46
Воронежская область;Call center;7900;14.95
Воронежская область;АРМ медработника;4336;8.21
Воронежская область;Прочие;;
Воронежская область;Записей не через ЕПГУ;20266;38.36
Воронежская область;Всего записей;52829;100.00
Забайкальский край;EПГУ;11676;70.70
Забайкальский край;РПГУ;6;0.04
Забайкальский край;Регистратура;42;0.25
Забайкальский край;Инфомат;;
Забайкальский край;Call center;4700;28.46
Забайкальский край;АРМ медработника;92;0.56
Забайкальский край;Прочие;;
Забайкальский край;Записей не через ЕПГУ;4840;29.30
Забайкальский край;Всего записей;16516;100.00
Ивановская область;EПГУ;8993;41.96
Ивановская область;РПГУ;;
Ивановская область;Регистратура;7464;34.83
Ивановская область;Инфомат;;
Ивановская область;Call center;4973;23.21
Ивановская область;АРМ медработника;;
Ивановская область;Прочие;;
Ивановская область;Записей не через ЕПГУ;12437;58.04
Ивановская область;Всего записей;21430;100.00
Иркутская область;EПГУ;47400;31.11
Иркутская область;РПГУ;16957;11.13
Иркутская область;Регистратура;60197;39.51
Иркутская область;Инфомат;550;0.36
Иркутская область;Call center;27201;17.85
Иркутская область;АРМ медработника;69;0.05
Иркутская область;Прочие;;
Иркутская область;Записей не через ЕПГУ;104974;68.89
Иркутская область;Всего записей;152374;100.00
Кабардино-Балкарская Республика;EПГУ;15;2.56
Кабардино-Балкарская Республика;РПГУ;9;1.53
Кабардино-Балкарская Республика;Регистратура;228;38.84
Кабардино-Балкарская Республика;Инфомат;;
Кабардино-Балкарская Республика;Call center;335;57.07
Кабардино-Балкарская Республика;АРМ медработника;;
Кабардино-Балкарская Республика;Прочие;;
Кабардино-Балкарская Республика;Записей не через ЕПГУ;572;97.44
Кабардино-Балкарская Республика;Всего записей;587;100.00
Калининградская область;EПГУ;29302;8.00
Калининградская область;РПГУ;8647;2.36
Калининградская область;Регистратура;173897;47.49
Калининградская область;Инфомат;9;0.00
Калининградская область;Call center;19766;5.40
Калининградская область;АРМ медработника;134591;36.75
Калининградская область;Прочие;;
Калининградская область;Записей не через ЕПГУ;336910;92.00
Калининградская область;Всего записей;366212;100.00
Калужская область;EПГУ;9090;13.51
Калужская область;РПГУ;1986;2.95
Калужская область;Регистратура;14198;21.11
Калужская область;Инфомат;;
Калужская область;Call center;40212;59.78
Калужская область;АРМ медработника;259;0.39
Калужская область;Прочие;1525;2.27
Калужская область;Записей не через ЕПГУ;58180;86.49
Калужская область;Всего записей;67270;100.00
Камчатский край;EПГУ;7776;63.29
Камчатский край;РПГУ;251;2.04
Камчатский край;Регистратура;4259;34.67
Камчатский край;Инфомат;;
Камчатский край;Call center;;
Камчатский край;АРМ медработника;;
Камчатский край;Прочие;;
Камчатский край;Записей не через ЕПГУ;4510;36.71
Камчатский край;Всего записей;12286;100.00
Карачаево-Черкесская Республика;EПГУ;835;100.00
Карачаево-Черкесская Республика;РПГУ;;
Карачаево-Черкесская Республика;Регистратура;;
Карачаево-Черкесская Республика;Инфомат;;
Карачаево-Черкесская Республика;Call center;;
Карачаево-Черкесская Республика;АРМ медработника;;
Карачаево-Черкесская Республика;Прочие;;
Карачаево-Черкесская Республика;Записей не через ЕПГУ;;
Карачаево-Черкесская Республика;Всего записей;835;100.00
Кемеровская область;EПГУ;27155;29.89
Кемеровская область;РПГУ;4248;4.68
Кемеровская область;Регистратура;12127;13.35
Кемеровская область;Инфомат;402;0.44
Кемеровская область;Call center;46626;51.32
Кемеровская область;АРМ медработника;;
Кемеровская область;Прочие;293;0.32
Кемеровская область;Записей не через ЕПГУ;63696;70.11
Кемеровская область;Всего записей;90851;100.00
Кировская область;EПГУ;18254;13.34
Кировская область;РПГУ;16113;11.78
Кировская область;Регистратура;2452;1.79
Кировская область;Инфомат;14;0.01
Кировская область;Call center;4082;2.98
Кировская область;АРМ медработника;95879;70.09
Кировская область;Прочие;;
Кировская область;Записей не через ЕПГУ;118540;86.66
Кировская область;Всего записей;136794;100.00
Костромская область;EПГУ;11632;43.42
Костромская область;РПГУ;208;0.78
Костромская область;Регистратура;8020;29.94
Костромская область;Инфомат;24;0.09
Костромская область;Call center;6874;25.66
Костромская область;АРМ медработника;32;0.12
Костромская область;Прочие;;
Костромская область;Записей не через ЕПГУ;15158;56.58
Костромская область;Всего записей;26790;100.00
Краснодарский край;EПГУ;24756;26.22
Краснодарский край;РПГУ;3022;3.20
Краснодарский край;Регистратура;2541;2.69
Краснодарский край;Инфомат;3;0.00
Краснодарский край;Call center;5963;6.31
Краснодарский край;АРМ медработника;58143;61.57
Краснодарский край;Прочие;;
Краснодарский край;Записей не через ЕПГУ;69672;73.78
Краснодарский край;Всего записей;94428;100.00
Красноярский край;EПГУ;28231;84.20
Красноярский край;РПГУ;1;0.00
Красноярский край;Регистратура;4448;13.27
Красноярский край;Инфомат;;
Красноярский край;Call center;555;1.66
Красноярский край;АРМ медработника;212;0.63
Красноярский край;Прочие;83;0.25
Красноярский край;Записей не через ЕПГУ;5299;15.80
Красноярский край;Всего записей;33530;100.00
Курганская область;EПГУ;9785;21.05
Курганская область;РПГУ;4131;8.89
Курганская область;Регистратура;28827;62.03
Курганская область;Инфомат;701;1.51
Курганская область;Call center;2840;6.11
Курганская область;АРМ медработника;175;0.38
Курганская область;Прочие;15;0.03
Курганская область;Записей не через ЕПГУ;36689;78.95
Курганская область;Всего записей;46474;100.00
Курская область;EПГУ;12336;79.25
Курская область;РПГУ;10;0.06
Курская область;Регистратура;184;1.18
Курская область;Инфомат;577;3.71
Курская область;Call center;2458;15.79
Курская область;АРМ медработника;;
Курская область;Прочие;;
Курская область;Записей не через ЕПГУ;3229;20.75
Курская область;Всего записей;15565;100.00
Ленинградская область;EПГУ;25244;10.00
Ленинградская область;РПГУ;3756;1.49
Ленинградская область;Регистратура;21551;8.53
Ленинградская область;Инфомат;74821;29.62
Ленинградская область;Call center;111862;44.29
Ленинградская область;АРМ медработника;15330;6.07
Ленинградская область;Прочие;;
Ленинградская область;Записей не через ЕПГУ;227320;90.00
Ленинградская область;Всего записей;252564;100.00
Липецкая область;EПГУ;14322;99.93
Липецкая область;РПГУ;10;0.07
Липецкая область;Регистратура;;
Липецкая область;Инфомат;;
Липецкая область;Call center;;
Липецкая область;АРМ медработника;;
Липецкая область;Прочие;;
Липецкая область;Записей не через ЕПГУ;10;0.07
Липецкая область;Всего записей;14332;100.00
Магаданская область;EПГУ;3323;69.84
Магаданская область;РПГУ;24;0.50
Магаданская область;Регистратура;1410;29.63
Магаданская область;Инфомат;;
Магаданская область;Call center;1;0.02
Магаданская область;АРМ медработника;;
Магаданская область;Прочие;;
Магаданская область;Записей не через ЕПГУ;1435;30.16
Магаданская область;Всего записей;4758;100.00
Москва;EПГУ;110136;100.00
Москва;РПГУ;;
Москва;Регистратура;;
Москва;Инфомат;;
Москва;Call center;;
Москва;АРМ медработника;;
Москва;Прочие;;
Москва;Записей не через ЕПГУ;;
Москва;Всего записей;110136;100.00
Московская область;EПГУ;342023;99.83
Московская область;РПГУ;287;0.08
Московская область;Регистратура;;
Московская область;Инфомат;12;0.00
Московская область;Call center;;
Московская область;АРМ медработника;298;0.09
Московская область;Прочие;;
Московская область;Записей не через ЕПГУ;597;0.17
Московская область;Всего записей;342620;100.00
Мурманская область;EПГУ;28033;38.36
Мурманская область;РПГУ;7539;10.32
Мурманская область;Регистратура;17357;23.75
Мурманская область;Инфомат;792;1.08
Мурманская область;Call center;10409;14.24
Мурманская область;АРМ медработника;8579;11.74
Мурманская область;Прочие;376;0.51
Мурманская область;Записей не через ЕПГУ;45052;61.64
Мурманская область;Всего записей;73085;100.00
Ненецкий автономный округ;EПГУ;1098;30.96
Ненецкий автономный округ;РПГУ;169;4.76
Ненецкий автономный округ;Регистратура;508;14.32
Ненецкий автономный округ;Инфомат;16;0.45
Ненецкий автономный округ;Call center;1569;44.23
Ненецкий автономный округ;АРМ медработника;187;5.27
Ненецкий автономный округ;Прочие;;
Ненецкий автономный округ;Записей не через ЕПГУ;2449;69.04
Ненецкий автономный округ;Всего записей;3547;100.00
Нижегородская область;EПГУ;34501;21.71
Нижегородская область;РПГУ;29617;18.64
Нижегородская область;Регистратура;85578;53.86
Нижегородская область;Инфомат;2706;1.70
Нижегородская область;Call center;1693;1.07
Нижегородская область;АРМ медработника;449;0.28
Нижегородская область;Прочие;4339;2.73
Нижегородская область;Записей не через ЕПГУ;124382;78.29
Нижегородская область;Всего записей;158883;100.00
Новгородская область;EПГУ;13125;100.00
Новгородская область;РПГУ;;
Новгородская область;Регистратура;;
Новгородская область;Инфомат;;
Новгородская область;Call center;;
Новгородская область;АРМ медработника;;
Новгородская область;Прочие;;
Новгородская область;Записей не через ЕПГУ;;
Новгородская область;Всего записей;13125;100.00
Новосибирская область;EПГУ;104361;30.35
Новосибирская область;РПГУ;3013;0.88
Новосибирская область;Регистратура;106504;30.98
Новосибирская область;Инфомат;;
Новосибирская область;Call center;56221;16.35
Новосибирская область;АРМ медработника;73730;21.44
Новосибирская область;Прочие;;
Новосибирская область;Записей не через ЕПГУ;239468;69.65
Новосибирская область;Всего записей;343829;100.00
Омская область;EПГУ;40475;26.84
Омская область;РПГУ;8926;5.92
Омская область;Регистратура;89698;59.47
Омская область;Инфомат;5649;3.75
Омская область;Call center;;
Омская область;АРМ медработника;880;0.58
Омская область;Прочие;5192;3.44
Омская область;Записей не через ЕПГУ;110345;73.16
Омская область;Всего записей;150820;100.00
Оренбургская область;EПГУ;16277;27.32
Оренбургская область;РПГУ;3441;5.78
Оренбургская область;Регистратура;10365;17.40
Оренбургская область;Инфомат;18;0.03
Оренбургская область;Call center;29248;49.09
Оренбургская область;АРМ медработника;231;0.39
Оренбургская область;Прочие;;
Оренбургская область;Записей не через ЕПГУ;43303;72.68
Оренбургская область;Всего записей;59580;100.00
Орловская область;EПГУ;18498;100.00
Орловская область;РПГУ;;
Орловская область;Регистратура;;
Орловская область;Инфомат;;
Орловская область;Call center;;
Орловская область;АРМ медработника;;
Орловская область;Прочие;;
Орловская область;Записей не через ЕПГУ;;
Орловская область;Всего записей;18498;100.00
Пензенская область;EПГУ;29399;49.70
Пензенская область;РПГУ;43;0.07
Пензенская область;Регистратура;24717;41.79
Пензенская область;Инфомат;59;0.10
Пензенская область;Call center;1747;2.95
Пензенская область;АРМ медработника;983;1.66
Пензенская область;Прочие;2200;3.72
Пензенская область;Записей не через ЕПГУ;29749;50.30
Пензенская область;Всего записей;59148;100.00
Пермский край;EПГУ;108944;20.49
Пермский край;РПГУ;41933;7.89
Пермский край;Регистратура;351511;66.12
Пермский край;Инфомат;14632;2.75
Пермский край;Call center;1575;0.30
Пермский край;АРМ медработника;4043;0.76
Пермский край;Прочие;8987;1.69
Пермский край;Записей не через ЕПГУ;422681;79.51
Пермский край;Всего записей;531625;100.00
Приморский край;EПГУ;27632;27.54
Приморский край;РПГУ;;
Приморский край;Регистратура;11723;11.69
Приморский край;Инфомат;2904;2.89
Приморский край;Call center;57989;57.80
Приморский край;АРМ медработника;;
Приморский край;Прочие;73;0.07
Приморский край;Записей не через ЕПГУ;72689;72.46
Приморский край;Всего записей;100321;100.00
Псковская область;EПГУ;3796;41.38
Псковская область;РПГУ;12;0.13
Псковская область;Регистратура;5358;58.40
Псковская область;Инфомат;8;0.09
Псковская область;Call center;;
Псковская область;АРМ медработника;;
Псковская область;Прочие;;
Псковская область;Записей не через ЕПГУ;5378;58.62
Псковская область;Всего записей;9174;100.00
